name,indicator,year,value,raw
CT,adults without high school diploma,2000,0.16015563571797908,367656
CT,adults without high school diploma,2010,0.11649959575246124,279399
CT,adults without high school diploma,2015,0.10145014627332913,249857
New Haven,adults without high school diploma,2000,0.26430283631929724,19075
New Haven,adults without high school diploma,2010,0.19465278506241476,14845
New Haven,adults without high school diploma,2015,0.1701474504388993,13801
