name,indicator,year,value
New Haven,employees,2002,50126
New Haven,employees,2003,49512
New Haven,employees,2004,49506
New Haven,employees,2005,49978
New Haven,employees,2006,50955
New Haven,employees,2007,51606
New Haven,employees,2008,51486
New Haven,employees,2009,50301
New Haven,employees,2010,57255
New Haven,employees,2011,57963
New Haven,employees,2012,57654
New Haven,employees,2013,57631
New Haven,employees,2014,58733
New Haven,employees,2015,59563
New Haven,employees,2016,59934
