name,indicator,year,value,raw
Cooperative High School,graduation by nhps school,2016,0.95,134
Engineering-Science University Magnet School,graduation by nhps school,2016,0.927,51
High School In The Community,graduation by nhps school,2016,0.5,22
Hill Regional Career High School,graduation by nhps school,2016,0.8640000000000001,121
James Hillhouse High School,graduation by nhps school,2016,0.804,221
Metropolitan Business Academy,graduation by nhps school,2016,0.919,91
New Haven Academy,graduation by nhps school,2016,0.727,40
Wilbur Cross High School,graduation by nhps school,2016,0.77,278
